brand,batch_no,batch_start,mash_pH,final_runnings_pH,preboil_gravity,knockout_gravity,knockout_pH
hh,487,11/15/23 5:28,5.14,5.28,10.4,11.1,4.98
hh,494,12/1/23 8:35,5.14,5.21,10.6,11.2,5.15
hh,500,12/13/23 9:12,5.3,5.32,11,11.6,5.22
hh,506,12/29/23 7:55,5.15,5.22,10.2,11,5.01
hh,508,1/15/24 7:55,5.25,5.5,10.8,11.5,5.18
hh,541,4/5/24 7:54,5.2,5.49,11.2,11.9,5.29
hh,546,4/17/24 9:09,5.31,5.54,11.6,11.8,5.32
hh,553,4/29/24 8:23,5.23,5.56,10.4,11.9,5.25
hh,557,5/8/24 5:28,5.22,5.56,10.9,11.8,5.27
hh,557,5/8/24 9:21,5.31,5.6,11.3,11.6,5.33
hh,569,5/27/24 7:31,5.31,5.43,10.1,11.7,5.21
hh,573,6/10/24 5:29,5.15,5.34,10.7,11.3,5.2
hh,573,6/10/24 9:20,5.12,5.06,10.2,12,5.07
hh,578,6/19/24 8:04,5.23,5.4,10.6,11.5,5.1
hh,584,7/8/24 5:35,5.24,5.48,10.7,11.4,5.13
hh,584,7/8/24 9:22,5.26,5.4,10.8,11.8,5.26
hh,602,8/19/24 7:18,5.26,5.53,10.6,11.9,5.33
hh,611,9/20/24 5:25,5.22,5.48,11.1,11.9,5.2
hh,611,9/20/24 9:11,,5.54,10.1,11.6,5.3
hh,621,10/16/24 5:29,5.27,5.42,10.3,11.5,5.16
hh,621,10/16/24 9:10,5.22,5.43,11,11.8,5.23
hh,632,11/6/24 8:21,5.45,5.53,9.2,11,5.29
hh,638,11/20/24 5:26,5.34,5.51,9.6,11.5,5.17
hh,638,11/20/24 9:10,5.25,5.4,10.7,11.6,5.16
hh,671,2/21/25 8:20,5.27,5.44,10.6,11.7,5.29
hh,675,3/5/25 5:27,5.3,5.48,9.7,11.5,5.18
hh,675,3/5/25 9:00,5.3,5.43,9.9,11.3,5.25
hh,685,3/26/25 9:26,5.32,5.48,11.4,11.7,5.31
hh,697,4/21/25 8:05,5.39,5.59,10.7,11.4,5.37
